,File,nhours,ssc,tad,dsi
0,trace_ISMER_20140706_spot073_drift.yml,100,0.8456260471573495,11.910688815186248,38.71240752323587
1,trace_ISMER_20140706_spot223_drift.yml,100,0.8456260471573495,11.910688815186248,38.71240752323587
2,trace_ISMER_20140811_spot010_drift.yml,100,0.4814006443910127,47.18871805757013,81.00284773798194
3,trace_ISMER_20140901_spot013_drift.yml,100,0.0718872941600055,51.760664006712695,111.35748402668645
4,trace_ISMER_20140909_spot011_drift.yml,100,0.668559996200764,18.920205800260526,15.628906804222147
5,trace_ISMER_20140923_spot007_drift.yml,100,0.45453505311134146,48.74571631484121,76.30356225960095
6,trace_ISMER_20140923_spot919_drift.yml,100,0.43353081384583303,45.940634822745295,73.26519127708603
7,trace_ISMER_20141021_spot029_drift.yml,100,0.719011712284631,9.30595061330572,8.83266018207937
8,trace_ISMER_20141021_spot207_drift.yml,100,0.7107476786097264,11.142674084410947,16.6140962621772
9,trace_ISMER_20141021_spot213_drift.yml,100,0.719011712284631,9.30595061330572,8.83266018207937
10,trace_ISMER_20141021_spot218_drift.yml,100,0.7789264377944973,9.618268054888683,9.546788069624915
11,trace_ISMER_20141022_spot243_drift.yml,100,0.9333582725144696,3.533572536533802,4.890809323540063
12,trace_ISMER_20141024_spot064_drift.yml,100,0.744714288339942,16.754525451857532,38.76847302404051
13,trace_ISMER_20141024_spot074_drift.yml,100,0.7883469202589648,14.1850161778167,34.164236480696644
14,trace_ISMER_20141024_spot208_drift.yml,100,0.7883469202589648,14.1850161778167,34.164236480696644
15,trace_ISMER_20141024_spot214_drift.yml,100,0.744714288339942,16.754525451857532,38.76847302404051
16,trace_ISMER_20141024_spot219_drift.yml,100,0.7520529973740999,17.010405767942647,38.30446577928399
17,trace_ISMER_20141026_spot209_drift.yml,100,0.5504244863115371,25.29703842619323,28.69716773090709
18,trace_ISMER_20141027_spot065_drift.yml,100,0.7460507072547301,15.945847868416926,15.675462367904116
19,trace_ISMER_20141027_spot069_drift.yml,100,0.562201557632818,20.578314626400612,25.270866213865244
20,trace_ISMER_20141027_spot215_drift.yml,100,0.7460507072547301,15.945847868416926,15.675462367904116
21,trace_ISMER_20141027_spot239_drift.yml,100,0.562201557632818,20.578314626400612,25.270866213865244
22,trace_ISMER_20141027_spot666_drift.yml,100,0.616490711060842,19.214637612603834,23.591972578601293
23,trace_ISMER_20141029_spot206_drift.yml,100,0.6705173352399056,13.335598526554463,49.292807350123496
24,trace_ISMER_20150605_spot081_drift.yml,100,0.07747589736066751,23.256189532663225,48.44898489957433
25,trace_ISMER_20150610_spot050_drift.yml,100,0.716634156677765,17.172630609286752,32.0859843964916
26,trace_ISMER_20150611_spot024_drift.yml,100,0.6332287541930284,17.72807452596919,11.920475005008981
27,trace_ISMER_20150611_spot045_drift.yml,100,0.3108076665235545,36.07252946065435,73.72527308494634
28,trace_ISMER_20150612_spot025_drift.yml,100,0.5772747625992235,14.58747914412703,26.938453772063244
29,trace_ISMER_20150613_spot030_drift.yml,100,0.0,40.22278789381189,67.16341326762411
30,trace_ISMER_20150614_spot039_drift.yml,100,0.6592358591976624,19.518289326172145,25.206891532894392
31,trace_ISMER_20150615_spot078_drift.yml,100,0.529802526512663,26.75038795666205,52.28192718430775
32,trace_ISMER_20150615_spot079_drift.yml,100,0.43881595087062664,33.99521577350527,54.66532658830068
33,trace_ISMER_20150616_spot043_drift.yml,100,0.5979283365486564,21.073292046709543,33.40663674840218
34,trace_ISMER_20150619_spot032_drift.yml,100,0.7454886779727312,11.758499212855117,17.627719369417974
35,trace_ISMER_20150619_spot033_drift.yml,100,0.7009640745320067,11.935552666678777,19.765229473382412
36,trace_ISMER_20150619_spot042_drift.yml,100,0.7031715178490481,12.595249834430826,26.447921633780215
37,trace_ISMER_20150626_spot230_drift.yml,100,0.1259342485067364,26.82278407758677,53.58471447661979
38,trace_ISMER_20150723_spot086_drift.yml,100,0.08811179165668315,58.10043843688708,74.17614034450415
39,trace_ISMER_20150805_spot700_drift.yml,100,0.0,45.84137631279957,77.00906147297893
40,trace_ISMER_20150805_spot720_drift.yml,100,0.0,45.84137631279957,77.00906147297893
41,trace_ISMER_20150809_spot048_drift.yml,100,0.5071924832977077,32.11473091291366,29.87365470585409
42,trace_ISMER_20150809_spot055_drift.yml,100,0.2855736990713945,59.27545269385916,90.16064579543553
43,trace_ISMER_20150809_spot910_drift.yml,100,0.5071924832977077,32.11473091291366,29.87365470585409
44,trace_ISMER_20150809_spot911_drift.yml,100,0.5071924832977077,32.11473091291366,29.87365470585409
45,trace_ISMER_20150809_spot915_drift.yml,100,0.2855736990713945,59.27545269385916,90.16064579543553
46,trace_ISMER_20150809_spot916_drift.yml,100,0.3413454037839977,48.362306556387956,90.41029962883717
47,trace_ISMER_20150921_spot052_drift.yml,100,0.5806468123542996,23.431088216389995,73.75452768999521
48,trace_ISMER_20150921_spot926_drift.yml,100,0.5806468123542996,23.431088216389995,73.75452768999521
49,trace_ISMER_20150924_spot092_drift.yml,100,0.42355911311559,12.839065123628895,14.13767764031601
50,trace_ISMER_20150925_spot056_drift.yml,100,0.3524830898525443,11.099980795868973,11.821203956964702
51,trace_ISMER_20151013_spot057_drift.yml,100,0.6466397883185515,15.039281303967861,20.057404290255068
52,trace_ISMER_20151103_spot093_drift.yml,100,0.6607388736231614,18.082206963198946,17.346945109115694
