,File,nhours,ssc,tad,nll,ssc_centroids,tad_centroids
0,trace_ISMER_20140629_spot023_drift.yml,45,0.8762797591200019,3.580034537004691,1.8424041458849814,0.7386942883542449,7.561280722980164
1,trace_ISMER_20140629_spot025_drift.yml,62,0.8726329915690249,6.055511496373239,1.8490968439738316,0.5452202208410646,21.621958582056738
2,trace_ISMER_20140629_spot220_drift.yml,45,0.8762797591200019,3.580034537004691,1.8417477469588772,0.7705225403102421,6.640281536068791
3,trace_ISMER_20140629_spot231_drift.yml,62,0.8726329915690249,6.055511496373239,1.8474470674289603,0.5653156966637476,20.6665433111132
4,trace_ISMER_20140702_spot036_drift.yml,95,0.7856374713356777,14.86523160492353,1.8658629202715797,0.7297966841789536,18.737579254758366
5,trace_ISMER_20140702_spot037_drift.yml,51,0.6857695385289644,11.487602200297244,1.845195758869093,0.6931526762296372,11.217690274832421
6,trace_ISMER_20140702_spot216_drift.yml,91,0.7238707855811379,16.124766250322626,1.8559816014986121,0.7509124275180934,14.545649907359733
7,trace_ISMER_20140702_spot228_drift.yml,95,0.7856374713356777,14.86523160492353,1.8688701438360544,0.6917327941994283,21.377166237873418
8,trace_ISMER_20140702_spot240_drift.yml,51,0.6857695385289644,11.487602200297244,1.8440429107142826,0.6954562187151201,11.133477625298596
9,trace_ISMER_20140704_spot241_drift.yml,39,0.7709008110108558,3.10170843742823,1.8392334401408386,0.7736329669439899,3.0647185591682375
10,trace_ISMER_20140706_spot073_drift.yml,137,0.7736945790683543,23.281807093289807,1.9192159539316602,0.7393111023770311,26.81910402691386
11,trace_ISMER_20140706_spot075_drift.yml,43,0.797748401397482,6.372957483054103,1.843145477617272,0.7949902371274631,6.459867370271636
12,trace_ISMER_20140706_spot223_drift.yml,137,0.7736945790683543,23.281807093289807,1.925913803958739,0.7308649293690013,27.68802784606045
13,trace_ISMER_20140707_spot076_drift.yml,60,0.7121417776933447,12.859498086528111,1.8573175022332928,0.7323112769782794,11.958465503951613
14,trace_ISMER_20140709_spot205_drift.yml,12,0.3961138005566699,8.792797894754619,1.847587513031338,0.3288658670573864,9.77195172977215
15,trace_ISMER_20140811_spot010_drift.yml,557,0.6214405538805223,136.638870861924,1.9781330447705823,0.5933871938215449,146.76457101716954
16,trace_ISMER_20140811_spot201_drift.yml,43,0.12557208855742907,54.629471376142845,1.944481686199623,0.11730846555592289,55.14573732593312
