,File,nhours,ssc,tad,dsi,nll,anll,dist_mu_true,dist_centr_true,std,ssc_centroids,tad_centroids,ssc_means,tad_means
0,trace_ISMER_20140702_spot036_drift.yml,72,0.7990446209722116,11.505180910290512,16.853414864903662,1.8593870127225172,1.848620304625063,52.640788457398465,18.36919051128219,45.751683131335135,0.7505701869333217,14.280459361852902,0.5270603088811654,27.076939827655384
1,trace_ISMER_20140702_spot216_drift.yml,72,0.7918032835023456,10.441085726498905,14.906829503889341,1.8537159662031,1.8463825783186008,30.914667104073438,16.627026339097423,32.721924738680855,0.7389195708102783,13.093209098289142,0.7117285561700109,14.456841146024711
2,trace_ISMER_20140702_spot228_drift.yml,72,0.7990446209722116,11.505180910290512,16.853414864903662,1.8564797133232567,1.846867763156394,43.07057627646665,17.38957386927645,40.731357091969855,0.756172022462529,13.959740745088173,0.6273235563720894,21.33662669636669
3,trace_ISMER_20140706_spot073_drift.yml,72,0.5090365255376157,27.73582029097828,73.16603361849387,2.146882796552865,1.9113373881399092,87.37289411532099,72.16265392815815,13.677019559034948,0.5157520509785294,27.356442564371147,0.4039337182172992,33.67335480738141
4,trace_ISMER_20140706_spot223_drift.yml,72,0.5090365255376157,27.73582029097828,73.16603361849387,2.1504895034483864,1.9125996379701498,100.12368492531158,72.45970171763341,19.872736806531012,0.5125059960015397,27.53982076291231,0.29242964880616673,39.97251348570562
5,trace_ISMER_20140811_spot010_drift.yml,72,0.23932050378295866,49.731572350901295,82.9824483986417,2.0257097818374437,1.9309821474707054,82.94980095937831,82.97870252122392,0.2239123400497321,0.2393645767906608,49.728690953437365,0.2398212579793696,49.698834129781
6,trace_ISMER_20140901_spot013_drift.yml,72,0.27261637708020137,25.03145532295057,74.14577481719226,1.9738547510655948,1.8701273678358064,74.10837094862231,74.1430953296021,0.23534493811206247,0.27269082722934435,25.028893269690997,0.27353950154048245,24.99968783746293
7,trace_ISMER_20140909_spot011_drift.yml,72,0.5702162668436299,16.240763137851648,36.969526692545436,1.9058532507818828,1.8547960081223442,26.659238461101587,33.42708460999565,36.641251149726315,0.5783798924757582,15.932274239810337,0.6336449459466875,13.843906128177988
8,trace_ISMER_20140923_spot007_drift.yml,72,0.45245376413468463,38.50138430654066,74.9694312115008,2.0033559672010597,1.8973905885205586,75.01346322525475,74.95986595030354,0.23986960873845264,0.4525857449207751,38.49210391589325,0.45184355358855377,38.54429200858587
9,trace_ISMER_20140923_spot919_drift.yml,72,0.4275794025143419,35.83098804727021,72.65801342969019,1.989738620338949,1.8896398623450237,72.65031175161717,72.66441563574459,0.22562406230880122,0.4274841415124898,35.83695096305927,0.42770282761170153,35.8232621841415
10,trace_ISMER_20141021_spot029_drift.yml,72,0.5649271952646937,8.07336702100795,11.481065838785511,1.8659645877426287,1.847626051813479,16.347557677292738,21.252076468157032,20.449320272210052,0.30770424281086095,12.846488390086593,0.3662103863484042,11.760827405025191
11,trace_ISMER_20141021_spot207_drift.yml,72,0.6171147129934913,9.280390243447702,13.401640620190296,1.8662909098377325,1.847787554018608,13.698388920996992,21.387892141177552,23.082247021326946,0.478365180645249,12.643407444643188,0.5752269291235685,10.295668171166739
12,trace_ISMER_20141021_spot213_drift.yml,72,0.5649271952646937,8.07336702100795,11.481065838785511,1.863172145058491,1.8468090624779099,16.928529872496167,19.258582500619003,30.727767203910382,0.3529615739850349,12.00667711945867,0.47816182928147444,9.683416274076704
13,trace_ISMER_20141021_spot218_drift.yml,72,0.6338527552457784,10.201918408124381,14.275629339696662,1.8888304975719743,1.8531428634243612,16.419739557558206,27.26122098787442,39.89204321348337,0.4582195064548942,15.095567341960182,0.5993811919979386,11.162395595085123
14,trace_ISMER_20141022_spot243_drift.yml,72,0.792405247661925,7.371156457745465,13.853298493379205,1.9130008585536338,1.859218183506358,34.5566574284995,21.78759750334726,48.3446107476973,0.6329376207041939,13.033442305590732,0.575921177347053,15.057949765033792
15,trace_ISMER_20141024_spot064_drift.yml,72,0.635564635151284,16.879223413032754,21.381738688401416,1.8806034509686667,1.8589427213092895,17.52640220152549,21.0664854624133,38.171016746297,0.6548171629400588,15.987521484085075,0.7531291956367867,11.434091921160212
16,trace_ISMER_20141024_spot074_drift.yml,72,0.6869891817784055,14.89335421732213,16.024724410953628,1.884318557536374,1.8638501152883782,32.25685977263393,24.249619999374122,46.91331926141885,0.5915749040816417,19.433256841779748,0.5815563672381279,19.90994841045298
17,trace_ISMER_20141024_spot208_drift.yml,72,0.6869891817784055,14.89335421732213,16.024724410953628,1.879006343056358,1.8609442402998857,20.626464308539443,22.014137550808194,39.778840538210154,0.6100414180599322,18.554602438074426,0.7267302100286851,13.002438069264263
18,trace_ISMER_20141024_spot214_drift.yml,72,0.635564635151284,16.879223413032754,21.381738688401416,1.8767239059538952,1.8571339556075455,8.587554014686882,21.297856969433735,29.406226606449252,0.6404900107819683,16.651099241554665,0.839774602036353,7.421014944016646
19,trace_ISMER_20141024_spot219_drift.yml,72,0.6843358181147824,15.620994358941696,18.48214575804217,1.8792260504145473,1.8587990992269243,26.297768410451354,20.682191212963122,43.22405539427542,0.664254834471603,16.61472424726386,0.6649272784016214,16.581447608860397
20,trace_ISMER_20141026_spot209_drift.yml,72,0.2703886844330745,33.32476656800794,51.183382326122924,1.9240465829578088,1.9091128478938504,48.496107103237904,35.02535583138849,52.598964508075646,0.37385351482121176,28.599043094264832,0.37518943382702075,28.53802541530003
21,trace_ISMER_20141027_spot065_drift.yml,72,0.7831349249664177,10.814498797937475,14.196528550213074,1.8946514262671768,1.875178993369484,22.88179899954415,29.382154869078164,26.445946891152975,0.5865251737769268,20.618917133034902,0.7436498173010102,12.78351870267712
22,trace_ISMER_20141027_spot069_drift.yml,72,0.5405785165586241,17.231541072823028,18.88252171590109,1.851960372126042,1.8604712016623866,20.337197204100743,15.943749763321565,14.472989233516621,0.46203427348339754,20.177503330500663,0.7087395672911565,10.92431740787558
23,trace_ISMER_20141027_spot215_drift.yml,72,0.7831349249664177,10.814498797937475,14.196528550213074,1.8958896684105948,1.8752274281357992,5.661433498568114,29.412087433086956,34.97048305547245,0.5837154349232458,20.759031521905243,0.7842931646166125,10.756740390767414
