,File,nhours,ssc,tad,dsi,nll,dist_mu_true,dist_centr_true,std,ssc_centroids,tad_centroids,ssc_means,tad_means
0,trace_ISMER_20140629_spot025_drift.yml,48,0.49075224099590375,19.124372702727943,29.15738029325978,1.844959264624032,1.4848213465945008,26.76681685115242,74.0784167030111,0.6732422685561192,12.27111269345889,0.2458934908798529,28.3198378058072
1,trace_ISMER_20140629_spot231_drift.yml,48,0.49075224099590375,19.124372702727943,29.15738029325978,1.8440792821744443,22.173767987894966,23.962083152965093,58.19795896100951,0.712300698165363,10.804306110959168,0.0,51.21375454111679
2,trace_ISMER_20140702_spot036_drift.yml,48,0.6248727230541369,14.698772103275013,28.764039456616462,1.846974990426726,34.29004961251296,24.004061481995997,56.94741734407336,0.621383011963408,14.835510941480848,0.44950644825356,21.5702236513478
3,trace_ISMER_20140702_spot037_drift.yml,48,0.738801241380947,9.018346450710213,16.514971226175387,1.8449476202344905,40.67314251006037,18.73231675555694,41.88547703365429,0.682092786820029,10.97630556436969,0.3694510505248767,21.770811280123883
4,trace_ISMER_20140702_spot216_drift.yml,48,0.738801241380947,9.018346450710213,16.514971226175387,1.8451934901620664,42.962218417336025,19.17791326365082,56.27099088634589,0.6713980533092693,11.345560045164214,0.4374682623810018,19.4223974347713
5,trace_ISMER_20140702_spot228_drift.yml,48,0.6248727230541369,14.698772103275013,28.764039456616462,1.8492796442729664,40.57842100930746,25.30811751530006,58.35557298427919,0.5436904264534201,17.879772659325283,0.35512139669059306,25.26855338672486
6,trace_ISMER_20140702_spot240_drift.yml,48,0.738801241380947,9.018346450710213,16.514971226175387,1.8438930674231448,21.97524772592695,17.5423861777637,30.55440487123714,0.7003405178150635,10.34627056373405,0.4244407822767734,19.872194093763145
7,trace_ISMER_20140706_spot073_drift.yml,48,0.6632758086482219,11.95383638358411,33.503645376199536,1.8453736457779513,19.888517707571808,13.676660923491257,39.54731977917578,0.7953669902406938,7.264549385427455,0.43747571512213035,19.969825263305072
8,trace_ISMER_20140706_spot223_drift.yml,48,0.6632758086482219,11.95383638358411,33.503645376199536,1.8461168175003053,22.039799797285415,14.083938792669501,40.91475946143663,0.7862922225134227,7.586707078331379,0.47033040910065926,18.803471177857844
9,trace_ISMER_20140707_spot076_drift.yml,48,0.009362447717168765,34.994293023152885,64.55227898444568,1.8446199634033045,25.370950396328475,23.462086841168116,24.153680927630695,0.804184277966332,6.91719462844473,0.541530961551077,16.195428728250132
10,trace_ISMER_20140811_spot010_drift.yml,48,0.21327314117893514,33.29651984224716,55.42092148512032,1.8729822091185444,36.98453186527442,43.565708625876184,15.656318151951947,0.3123290321711404,29.10419260321541,0.5354111031839048,19.662724423195503
11,trace_ISMER_20140901_spot013_drift.yml,48,0.39846813660958424,9.720396383076723,24.901494527174755,1.8703665641765073,46.7824370882818,52.673312926856894,27.2196381874363,0.0,22.62231342801856,0.0,37.76290053048289
12,trace_ISMER_20140909_spot011_drift.yml,48,0.2306687123727834,16.753744820789176,36.12341665648009,1.85074659984645,42.48929407128769,28.31059041591682,55.3135123902163,0.3453239174415236,14.256895831296744,0.0,35.60382825110792
13,trace_ISMER_20140923_spot007_drift.yml,48,0.4449996401941081,27.261022531402926,45.44382110689441,1.871284541932839,47.633936076249874,47.63903414333935,0.23174265337227612,0.4451120711598541,27.25550004292832,0.44521670593929874,27.250360494764767
14,trace_ISMER_20140923_spot919_drift.yml,48,0.41877183240610594,24.59847381923734,43.308915064808474,1.8654406606222453,45.657800126109855,45.66119039822599,0.21455520862585192,0.4185467811618203,24.6079983355103,0.41858297767241104,24.606466443272865
15,trace_ISMER_20141021_spot029_drift.yml,48,0.3028181984831959,5.618862224478664,12.242905492893074,1.84243045677305,23.01778265762637,15.39164415803307,26.004444409571512,0.0,9.17667449927963,0.0,28.825530732399955
16,trace_ISMER_20141021_spot207_drift.yml,48,0.577899731831181,5.871678645390731,11.666225361408285,1.8423424238010406,13.843829217192242,14.647421602592836,33.45538879945244,0.3547019216953313,8.976499737208876,0.0,16.428458896522162
17,trace_ISMER_20141021_spot213_drift.yml,48,0.3028181984831959,5.618862224478664,12.242905492893074,1.8430318661670377,24.644388552390094,16.424886742571715,25.310595463548488,0.0,9.752685399957477,0.0,30.233973760809747
18,trace_ISMER_20141021_spot218_drift.yml,48,0.5465933558158425,7.121335630468778,9.820570823516052,1.8439960253984318,23.03238472471144,12.096132160614836,36.750422564121344,0.3053543232151493,10.910305510719072,0.0,34.995758254982796
19,trace_ISMER_20141022_spot243_drift.yml,48,0.6285641444741279,7.807208066106249,11.73276964712016,1.8434651396950692,26.11894930629219,3.653257426691965,63.2452225288913,0.7827394907446145,4.566597368214631,0.0,44.83768313855902
20,trace_ISMER_20141024_spot064_drift.yml,48,0.8005061752737354,6.403570499699047,11.296235521237865,1.8470488138045884,30.319653292347176,4.870967540276366,55.335208897686954,0.8271945381501213,5.5468983022764435,0.4542572802881202,17.517845402822733
21,trace_ISMER_20141024_spot074_drift.yml,48,0.7448890432283801,7.908391648056278,10.429696634180443,1.8473359398899085,15.540230983179043,4.984196349450161,47.43088460737799,0.7594914978139057,7.4557183040859,0.6111411102565253,12.054552398832293
22,trace_ISMER_20141024_spot208_drift.yml,48,0.7448890432283801,7.908391648056278,10.429696634180443,1.8474687432112533,16.57059451211103,5.122217866838017,49.86917023600717,0.7548191416372325,7.6005604662256685,0.6009682843585689,12.369908087143832
23,trace_ISMER_20141024_spot214_drift.yml,48,0.8005061752737354,6.403570499699047,11.296235521237865,1.8461950706100387,18.682197051298207,3.0102278542322676,45.85909423504896,0.8588323987913064,4.531351724062943,0.5920090642662679,13.096138308010351
24,trace_ISMER_20141024_spot219_drift.yml,48,0.819860449601003,6.01973938876348,7.512915489708806,1.847787230564901,29.350904893724735,6.852661012773234,54.758864355730765,0.8169347146127317,6.117508935267677,0.5358069889632852,15.51197916469315
25,trace_ISMER_20141024_spot244_drift.yml,48,0.819860449601003,6.01973938876348,7.512915489708806,1.8479581646662833,35.561010259199215,8.328318872715219,50.59158716117557,0.7886704926333212,7.062016956772982,0.359600475285483,21.400287915289777
26,trace_ISMER_20141024_spot262_drift.yml,48,0.8005061752737354,6.403570499699047,11.296235521237865,1.8472452548825269,17.39308888376181,3.415407307131938,45.575459502393244,0.8479711333024262,4.879988476952046,0.4807298472039764,16.668100059645862
27,trace_ISMER_20141024_spot279_drift.yml,48,0.8005061752737354,6.403570499699047,11.296235521237865,1.8484976964037256,20.78600095333944,4.09362957666649,48.35791162018607,0.8478706975745351,4.883212372554433,0.5151137887668494,15.564406779126983
28,trace_ISMER_20141026_spot209_drift.yml,48,0.851168025140178,5.191145682720703,12.417269970501732,1.8616083669622203,21.06675700329199,30.390525811984585,75.4119072550707,0.7057265187542181,10.264034412948048,0.09809673319193113,31.45769754202402
29,trace_ISMER_20141027_spot065_drift.yml,48,0.7673978180577943,8.649814042972928,9.103006747454327,1.8539227530686853,21.8652884647605,18.154072639216725,40.21530709085889,0.6797605411693579,11.908795287206713,0.47248253969771725,19.616875035032308
30,trace_ISMER_20141027_spot069_drift.yml,48,0.3586742474283279,17.1605113274054,19.561300977637888,1.8575640271910092,13.754661822657425,20.215010566207933,21.218915002119914,0.4019495504185453,16.002556381447516,0.7494462599713866,6.704284486695858
31,trace_ISMER_20141027_spot215_drift.yml,48,0.7673978180577943,8.649814042972928,9.103006747454327,1.8542225851406853,18.468298608802158,19.095946139549373,33.586481591078204,0.6785069402793278,11.955413141314205,0.3915649112672924,22.625971651741875
32,trace_ISMER_20141027_spot239_drift.yml,48,0.3586742474283279,17.1605113274054,19.561300977637888,1.8607702833255366,22.91146153752906,19.970663729135325,43.88120119688966,0.43749587792939004,15.051412359160118,0.0,29.791586880996217
33,trace_ISMER_20141027_spot245_drift.yml,48,0.525519925491512,13.734629500303365,18.843758199117048,1.8749117109490128,10.605731444061808,24.807444662199316,35.82936657785164,0.32429354706991553,19.559467890348397,0.6268327762605614,10.801957416288326
34,trace_ISMER_20141027_spot263_drift.yml,48,0.3586742474283279,17.1605113274054,19.561300977637888,1.8575936703551257,11.647616012815702,20.262511919648748,23.39577009611231,0.41670755801512827,15.60766352783052,0.6540310702246779,9.257391761570092
35,trace_ISMER_20141027_spot278_drift.yml,48,0.3586742474283279,17.1605113274054,19.561300977637888,1.8569811066171231,18.534448932093785,20.494062552779276,18.450272657596376,0.40581136283958485,15.899222505441722,0.5568823439420325,11.856884782287409
36,trace_ISMER_20141027_spot666_drift.yml,48,0.47170569643366456,15.598447483788398,18.211835378157637,1.8949667148980438,16.73574879248853,25.337684998946028,51.36181619908163,0.1628650792468982,24.717293012743962,0.568278002964024,12.7470480997082
37,trace_ISMER_20141029_spot206_drift.yml,48,0.8115729181030988,4.190554299130766,2.025419107254474,1.8440940101551495,8.399382192436386,7.344076986137537,23.78452127805269,0.7883128823711465,4.707849593168173,0.5118077500307812,10.85722981705039
38,trace_ISMER_20150605_spot081_drift.yml,48,0.26301187912671564,10.573536871930669,19.316909479196383,1.8498896538338838,25.606313493213953,23.86204213590792,24.365856919459578,0.0,16.179621536329567,0.0,22.117744781120766
39,trace_ISMER_20150610_spot050_drift.yml,48,0.742563517815125,7.913823968226683,15.890183937284323,1.845032172305083,33.370091703635055,1.8388346936835704,31.539259250572165,0.6098924408801092,11.99224960404925,0.0,32.89795350658128
40,trace_ISMER_20150611_spot024_drift.yml,48,0.6518046042627403,7.333606641281808,5.698012148705257,1.862222858899911,22.64318366387381,28.21241272232205,16.7327072078889,0.05470034432561255,19.909671172349924,0.0,31.437517740523848
41,trace_ISMER_20150611_spot045_drift.yml,48,0.3519865246746805,18.681916818352434,41.59198173706218,1.8499518163082584,40.80633020618731,32.505789389791545,22.06401834861475,0.5468036134090564,13.065433851386286,0.2676379895922426,21.11364451563357
42,trace_ISMER_20150612_spot025_drift.yml,48,0.09294675220524551,16.423303474756,24.84982057505561,1.8429620297548175,9.22268174247083,12.049709572867828,17.577603561743043,0.6498233606742942,6.340374428291088,0.22028062830536355,14.117768606881937
43,trace_ISMER_20150612_spot027_drift.yml,48,0.07352492110323205,24.42755557117884,43.86624204704339,1.8683735662099024,43.75468191981007,43.75310066357498,0.23227845989949128,0.07391244488119231,24.41733807171566,0.0735020588516867,24.428158360107357
44,trace_ISMER_20150613_spot030_drift.yml,48,0.0,19.406439791882985,38.39390568202332,1.8687240105515956,26.968084820162467,43.38899455661092,20.070916106522034,0.0,22.042165656207857,0.0,23.69390122393331
45,trace_ISMER_20150614_spot039_drift.yml,48,0.4519372354235025,14.132093271988685,15.607962842373638,1.8491402363140192,23.48408091979044,19.38998120276998,21.90129962546864,0.42575139193535105,14.807309335729505,0.5887354964854808,10.604676505648785
46,trace_ISMER_20150615_spot078_drift.yml,48,0.5977775457488503,11.631503739307552,18.725561282399333,1.8487231717123243,22.825910114599463,18.672798410797032,59.41021894615041,0.6653474521556954,9.677511338512508,0.0,34.89969754363346
47,trace_ISMER_20150615_spot079_drift.yml,48,0.6380062997132661,11.632682625064158,20.253684985456594,1.8529316599621788,36.495497617905116,29.893598884389675,59.11337194369897,0.49820711333956424,16.125135297691692,0.0,41.35996529211096
48,trace_ISMER_20150616_spot023_drift.yml,48,0.021268677769346378,32.5286700027495,62.75463913490105,1.885053137740382,63.542009924231934,56.56149185156349,11.846918177280246,0.2577035627306735,24.670627478355286,0.046950657298600595,31.67511538755593
49,trace_ISMER_20150616_spot043_drift.yml,48,0.591826390884979,10.767766824436835,16.60556313477748,1.841851242230585,24.65334743934725,18.079424477439545,46.43356329536814,0.5612231816233382,11.575090507423738,0.32403923370947507,17.83208848231281
50,trace_ISMER_20150619_spot032_drift.yml,48,0.6199111594154997,8.047858167069995,19.54040257689758,1.8414825835183093,14.957733705960397,15.143632809369032,22.03470029379452,0.6638095402248414,7.118370361076207,0.37353591552717247,13.264514924583315
51,trace_ISMER_20150619_spot033_drift.yml,48,0.5655261461087662,8.12546434975455,18.994849282947825,1.841672449883059,14.775202771577895,15.033839253767086,21.30863439198336,0.6527598893233739,6.494032068530596,0.45659088637699063,10.162755112948282
52,trace_ISMER_20150619_spot042_drift.yml,48,0.6208641782478128,7.345955866135867,20.483362192729253,1.8412835605259568,13.441655533879292,16.16055499162883,19.966008982983226,0.6629295384511189,6.530917397550929,0.3943837676523916,11.734132886944364
53,trace_ISMER_20150624_spot043_drift.yml,48,0.35801558520391885,14.254627518980854,39.579468561036535,1.8516029318322562,45.78568137678535,49.73542837119073,24.509576510176373,0.19659575366422788,17.838794859718885,0.0,33.63433171123453
54,trace_ISMER_20150626_spot230_drift.yml,48,0.11095687498116269,15.486752618681976,28.34275664787036,1.846602119929251,21.08925072075204,25.984000436483598,24.129528227160122,0.1489469401043403,14.824981863165696,0.18571507007080856,14.18449669769054
55,trace_ISMER_20150723_spot086_drift.yml,48,0.32417757734832364,26.843857459127094,52.25625669896624,1.9155260547699118,55.751160760466014,52.45180488214157,7.542843416095986,0.3224186140102394,26.913723979592778,0.24453730254919293,30.007191662105203
56,trace_ISMER_20150805_spot700_drift.yml,48,0.39757063158846484,8.653384809197291,15.871003735888598,1.8454572820706423,40.86876495094207,20.756321206124326,23.45187243240736,0.35620399657717683,9.247581290617426,0.0,32.25778781356154
57,trace_ISMER_20150805_spot720_drift.yml,48,0.39757063158846484,8.653384809197291,15.871003735888598,1.846876419470387,40.972399245285025,22.217396387593375,24.30872447549784,0.31247144732930043,9.8757621150797,0.0,32.36674398835188
58,trace_ISMER_20150809_spot046_drift.yml,48,0.04419002856847376,34.39871719834603,51.372907257041014,1.8978794109534822,54.35844011993066,55.65659726224344,3.6631391850290704,0.0,37.84891463611524,0.0,36.77135292890743
